sni_id,year,inv_egen_fou
marknadsproduktion_varo,2007,2779
marknadsproduktion_varo,2009,2776
marknadsproduktion_varo,2011,2614
marknadsproduktion_varo,2013,2026
marknadsproduktion_varo,2015,3104
marknadsproduktion_varo,2017,3413
marknadsproduktion_varo,2019,5689
marknadsproduktion_varo,2021,6494
marknadsproduktion_varo,2023,7963
skog_gruv,2007,
skog_gruv,2009,7
skog_gruv,2011,12
skog_gruv,2013,98
skog_gruv,2015,23
skog_gruv,2017,
skog_gruv,2019,28
skog_gruv,2021,15
skog_gruv,2023,44
tillverkningsindustrin_c,2007,2755
tillverkningsindustrin_c,2009,2749
tillverkningsindustrin_c,2011,2598
tillverkningsindustrin_c,2013,1898
tillverkningsindustrin_c,2015,2970
tillverkningsindustrin_c,2017,3249
tillverkningsindustrin_c,2019,5563
tillverkningsindustrin_c,2021,6370
tillverkningsindustrin_c,2023,7788
livsmedel_dryck_tob,2007,55
livsmedel_dryck_tob,2009,65
livsmedel_dryck_tob,2011,4
livsmedel_dryck_tob,2013,46
livsmedel_dryck_tob,2015,41
livsmedel_dryck_tob,2017,
livsmedel_dryck_tob,2019,62
livsmedel_dryck_tob,2021,35
livsmedel_dryck_tob,2023,77
tex_tra_graf,2007,
tex_tra_graf,2009,12
tex_tra_graf,2011,
tex_tra_graf,2013,37
tex_tra_graf,2015,55
tex_tra_graf,2017,133
tex_tra_graf,2019,
tex_tra_graf,2021,5
tex_tra_graf,2023,16
industri_for_tra,2007,
industri_for_tra,2009,6
industri_for_tra,2011,
industri_for_tra,2013,0
industri_for_tra,2015,50
industri_for_tra,2017,124
industri_for_tra,2019,
industri_for_tra,2021,2
industri_for_tra,2023,16
massa_papp,2007,23
massa_papp,2009,
massa_papp,2011,48
massa_papp,2013,53
massa_papp,2015,
massa_papp,2017,27
massa_papp,2019,47
massa_papp,2021,68
massa_papp,2023,56
kol_pet_kem,2007,85
kol_pet_kem,2009,81
kol_pet_kem,2011,117
kol_pet_kem,2013,78
kol_pet_kem,2015,134
kol_pet_kem,2017,131
kol_pet_kem,2019,144
kol_pet_kem,2021,82
kol_pet_kem,2023,103
farmaceutiska_basp,2007,
farmaceutiska_basp,2009,957
farmaceutiska_basp,2011,799
farmaceutiska_basp,2013,197
farmaceutiska_basp,2015,
farmaceutiska_basp,2017,
farmaceutiska_basp,2019,
farmaceutiska_basp,2021,
farmaceutiska_basp,2023,1480
gummi,2007,18
gummi,2009,
gummi,2011,2
gummi,2013,51
gummi,2015,199
gummi,2017,169
gummi,2019,32
gummi,2021,16
gummi,2023,23
icke_met_andra,2007,12
icke_met_andra,2009,5
icke_met_andra,2011,
icke_met_andra,2013,9
icke_met_andra,2015,5
icke_met_andra,2017,5
icke_met_andra,2019,9
icke_met_andra,2021,8
icke_met_andra,2023,10
metaller,2007,142
metaller,2009,229
metaller,2011,105
metaller,2013,131
metaller,2015,164
metaller,2017,89
metaller,2019,207
metaller,2021,
metaller,2023,67
metall_dator_elap,2007,494
metall_dator_elap,2009,689
metall_dator_elap,2011,617
metall_dator_elap,2013,459
metall_dator_elap,2015,688
metall_dator_elap,2017,636
metall_dator_elap,2019,618
metall_dator_elap,2021,1370
metall_dator_elap,2023,1957
metall_dator_elap_transp,2007,1405
metall_dator_elap_transp,2009,1065
metall_dator_elap_transp,2011,1462
metall_dator_elap_transp,2013,1244
metall_dator_elap_transp,2015,1922
metall_dator_elap_transp,2017,1635
metall_dator_elap_transp,2019,2820
metall_dator_elap_transp,2021,3645
metall_dator_elap_transp,2023,5912
industri_for_met,2007,76
industri_for_met,2009,29
industri_for_met,2011,53
industri_for_met,2013,15
industri_for_met,2015,71
industri_for_met,2017,87
industri_for_met,2019,70
industri_for_met,2021,281
industri_for_met,2023,245
datorer_elek,2007,125
datorer_elek,2009,100
datorer_elek,2011,54
datorer_elek,2013,89
datorer_elek,2015,224
datorer_elek,2017,119
datorer_elek,2019,103
datorer_elek,2021,246
datorer_elek,2023,138
elapparatur,2007,33
elapparatur,2009,56
elapparatur,2011,108
elapparatur,2013,71
elapparatur,2015,97
elapparatur,2017,26
elapparatur,2019,36
elapparatur,2021,144
elapparatur,2023,167
ovrig_mask,2007,260
ovrig_mask,2009,503
ovrig_mask,2011,402
ovrig_mask,2013,285
ovrig_mask,2015,297
ovrig_mask,2017,404
ovrig_mask,2019,408
ovrig_mask,2021,699
ovrig_mask,2023,1406
transportmedelsindustri,2007,911
transportmedelsindustri,2009,377
transportmedelsindustri,2011,845
transportmedelsindustri,2013,785
transportmedelsindustri,2015,1234
transportmedelsindustri,2017,999
transportmedelsindustri,2019,2202
transportmedelsindustri,2021,2275
transportmedelsindustri,2023,3956
tillverkning_mob,2007,36
tillverkning_mob,2009,52
tillverkning_mob,2011,46
tillverkning_mob,2013,49
tillverkning_mob,2015,65
tillverkning_mob,2017,57
tillverkning_mob,2019,14
tillverkning_mob,2021,62
tillverkning_mob,2023,38
reparationsverkstader,2007,8
reparationsverkstader,2009,9
reparationsverkstader,2011,
reparationsverkstader,2013,
reparationsverkstader,2015,
reparationsverkstader,2017,0
reparationsverkstader,2019,
reparationsverkstader,2021,1
reparationsverkstader,2023,6
el_gas_avl,2007,8
el_gas_avl,2009,14
el_gas_avl,2011,1
el_gas_avl,2013,18
el_gas_avl,2015,44
el_gas_avl,2017,75
el_gas_avl,2019,91
el_gas_avl,2021,106
el_gas_avl,2023,85
bygg,2007,
bygg,2009,6
bygg,2011,4
bygg,2013,12
bygg,2015,67
bygg,2017,
bygg,2019,8
bygg,2021,3
bygg,2023,46
marknadsproduktion_tjan,2007,543
marknadsproduktion_tjan,2009,824
marknadsproduktion_tjan,2011,623
marknadsproduktion_tjan,2013,1537
marknadsproduktion_tjan,2015,1599
marknadsproduktion_tjan,2017,2274
marknadsproduktion_tjan,2019,2314
marknadsproduktion_tjan,2021,3660
marknadsproduktion_tjan,2023,3525
service_motor_hotell,2007,55
service_motor_hotell,2009,
service_motor_hotell,2011,
service_motor_hotell,2013,363
service_motor_hotell,2015,254
service_motor_hotell,2017,702
service_motor_hotell,2019,317
service_motor_hotell,2021,337
service_motor_hotell,2023,379
detaljhandel_ut_mot,2007,
detaljhandel_ut_mot,2009,
detaljhandel_ut_mot,2011,
detaljhandel_ut_mot,2013,201
detaljhandel_ut_mot,2015,
detaljhandel_ut_mot,2017,8
detaljhandel_ut_mot,2019,
detaljhandel_ut_mot,2021,
detaljhandel_ut_mot,2023,7
transport_mag,2007,
transport_mag,2009,6
transport_mag,2011,
transport_mag,2013,28
transport_mag,2015,35
transport_mag,2017,24
transport_mag,2019,9
transport_mag,2021,0
transport_mag,2023,18
forlagsverksamhet_film,2007,73
forlagsverksamhet_film,2009,8
forlagsverksamhet_film,2011,7
forlagsverksamhet_film,2013,29
forlagsverksamhet_film,2015,154
forlagsverksamhet_film,2017,99
forlagsverksamhet_film,2019,160
forlagsverksamhet_film,2021,420
forlagsverksamhet_film,2023,95
information_komm,2007,143
information_komm,2009,77
information_komm,2011,73
information_komm,2013,201
information_komm,2015,404
information_komm,2017,288
information_komm,2019,559
information_komm,2021,1009
information_komm,2023,543
finans,2007,25
finans,2009,2
finans,2011,
finans,2013,18
finans,2015,98
finans,2017,168
finans,2019,234
finans,2021,468
finans,2023,30
fast_uthyr_rese,2007,
fast_uthyr_rese,2009,1
fast_uthyr_rese,2011,11
fast_uthyr_rese,2013,
fast_uthyr_rese,2015,36
fast_uthyr_rese,2017,35
fast_uthyr_rese,2019,39
fast_uthyr_rese,2021,159
fast_uthyr_rese,2023,17
juridisk_ek,2007,
juridisk_ek,2009,
juridisk_ek,2011,2
juridisk_ek,2013,124
juridisk_ek,2015,26
juridisk_ek,2017,152
juridisk_ek,2019,24
juridisk_ek,2021,1
juridisk_ek,2023,17
arkitekt,2007,36
arkitekt,2009,78
arkitekt,2011,35
arkitekt,2013,54
arkitekt,2015,274
arkitekt,2017,390
arkitekt,2019,344
arkitekt,2021,232
arkitekt,2023,908
forsknings,2007,237
forsknings,2009,589
forsknings,2011,304
forsknings,2013,528
forsknings,2015,372
forsknings,2017,493
forsknings,2019,652
forsknings,2021,1144
forsknings,2023,1557
rek_vet_civ_int,2007,12
rek_vet_civ_int,2009,8
rek_vet_civ_int,2011,14
rek_vet_civ_int,2013,13
rek_vet_civ_int,2015,100
rek_vet_civ_int,2017,23
rek_vet_civ_int,2019,136
rek_vet_civ_int,2021,310
rek_vet_civ_int,2023,57
